Title,Release Date,Budget,Revenue,Genres,Cast,Rating,Vote Count,Runtime,Overview
Police Academy,1984-03-22,4500000,81198894,"Comedy, Crime","Steve Guttenberg, Kim Cattrall, G.W. Bailey, Bubba Smith, Donovan Scott",6.681,2592,97,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!"
Cobra Thunderbolt,1984-01-01,0,0,Action,"Sorapong Chatree, Rapeetran Kornsakul, Krung Srivilai, Siriporn Lamsoontorn, Chaiyan Sorakrai",4.9,6,89,"A crippled war veteran creates an advanced battle tank and gets the attention of terrorists. They kidnap his wife for the exchange of the vehicle's blueprints, so he asks his daughter and best friend for help to battle the bad guys."
Willy Wonka & the Chocolate Factory,1971-06-29,3000000,4000000,"Family, Fantasy, Comedy","Gene Wilder, Peter Ostrum, Jack Albertson, Paris Themmen, Nora Denney",7.494,3512,99,"When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner."
Maharaj,2024-06-21,0,0,"Drama, History","Junaid Khan, Jaideep Ahlawat, Sharvari Wagh, Shalini Pandey, Jay Upadhyay",6.625,20,132,"Based on a real-life historic court case, a bold journalist questions a revered leader's immoral behavior."
Caddyshack,1980-07-25,6000000,39846344,Comedy,"Chevy Chase, Rodney Dangerfield, Ted Knight, Bill Murray, Michael O'Keefe",6.622,1131,98,"At an exclusive country club, an ambitious young caddy, Danny Noonan, eagerly pursues a caddy scholarship in hopes of attending college and, in turn, avoiding a job at the lumber yard. In order to succeed, he must first win the favour of the elitist Judge Smails, and then the caddy golf tournament which Smails sponsors."
Hotel Transylvania 2,2015-09-21,80000000,473200000,"Animation, Comedy, Family, Fantasy","Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, Steve Buscemi",6.775,5640,89,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool."
The Good Son,1993-09-24,17000000,60613008,"Thriller, Drama, Horror","Macaulay Culkin, Elijah Wood, Wendy Crewson, David Morse, Daniel Hugh Kelly",6.762,922,87,"A young boy stays with his aunt and uncle, and befriends his cousin who's the same age. But his cousin begins showing increasing signs of psychotic behavior."
Rurouni Kenshin: The Beginning,2021-06-04,0,0,"Action, Adventure, Drama, Romance","Takeru Satoh, Kasumi Arimura, Issey Takahashi, Nijiro Murakami, Masanobu Ando",7.663,430,138,"Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets gentle Tomoe Yukishiro, a beautiful young woman who carries a huge burden in her heart, his life will change forever."
Dragon Ball Z: The History of Trunks,1993-02-24,0,0,"Animation, Action, Science Fiction","Masako Nozawa, Mayumi Tanaka, Hiromi Tsuru, Ryo Horikawa, Takeshi Kusao",7.565,518,48,It has been thirteen years since the Androids began their killing rampage and Son Gohan is the only person fighting back. He takes Bulma's son Trunks as a student and even gives his own life to save Trunks's. Now Trunks must figure out a way to change this apocalyptic future
The Legend Hunters,,0,0,"Adventure, Action","Zhang Hanyu, Jiang Wu, Celina Jade, Michael Koltes",0.0,0,0,The story follows the team as they try to raid a tomb made by master tomb raiders.
"Paris, Texas",1984-07-16,1750000,2181987,Drama,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Hunter Carson, Aurore Clément",8.101,1775,145,"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier."
Be Happy,2024-08-24,0,0,"Drama, Music","Abhishek Bachchan, Nora Fatehi, Amitabh Bachchan, Nassar, Inayat Verma",0.0,0,0,A father/daughter story.
Final Destination 5,2011-08-12,47000000,157900000,"Horror, Mystery","Nicholas D'Agosto, Emma Bell, Miles Fisher, Courtney B. Vance, David Koechner",6.096,3319,92,"In this fifth installment, Death is just as omnipresent as ever, and is unleashed after one man’s premonition saves a group of coworkers from a terrifying suspension bridge collapse. But this group of unsuspecting souls was never supposed to survive, and, in a terrifying race against time, the ill-fated group frantically tries to discover a way to escape Death’s sinister agenda."
Prey for the Devil,2022-10-23,0,37655699,"Horror, Thriller","Jacqueline Byers, Colin Salmon, Christian Navarro, Lisa Palfrey, Nicholas Ralph",6.934,881,93,"In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her."
The Basketball Diaries,1995-04-21,2000000,2381087,"Drama, Crime","Leonardo DiCaprio, Mark Wahlberg, Lorraine Bracco, Michael Imperioli, Ernie Hudson",7.4,1944,102,A high school basketball player’s life turns upside down after free-falling into the harrowing world of drug addiction.
Moby Dick,1956-06-27,4500000,10400000,"Adventure, Drama","Gregory Peck, Richard Basehart, Leo Genn, James Robertson Justice, Harry Andrews",7.0,400,116,"In 1841, young Ishmael signs up for service aboard the Pequod, a whaler sailing out of New Bedford. The ship is under the command of Captain Ahab, a strict disciplinarian who exhorts his men to find Moby Dick, the great white whale. Ahab lost his his leg to that creature and is desperate for revenge. As the crew soon learns, he will stop at nothing to gain satisfaction."
Jennifer's Body,2009-09-18,16000000,31556061,"Horror, Comedy","Megan Fox, Amanda Seyfried, Johnny Simmons, Adam Brody, Sal Cortez",5.9,3689,102,"Jennifer, a gorgeous, seductive cheerleader takes evil to a whole new level after she's possessed by a sinister demon. Now it's up to her best friend to stop Jennifer's reign of terror before it's too late."
The Covenant,2006-09-07,20000000,37597471,"Fantasy, Horror, Adventure, Action","Steven Strait, Sebastian Stan, Laura Ramsey, Taylor Kitsch, Toby Hemingway",5.575,976,97,Four young men who belong to a supernatural legacy are forced to battle a fifth power long thought to have died out. Another great force they must contend with is the jealousy and suspicion that threatens to tear them apart.
After Earth,2013-05-30,130000000,243843127,"Science Fiction, Action, Adventure","Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz, Glenn Morshower",5.195,6424,100,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance."
Mousey,1974-05-24,0,0,"Action, Drama, TV Movie","Kirk Douglas, Jean Seberg, John Vernon, Bessie Love, Beth Porter",4.6,5,85,A high school teacher separated from his son plots revenge on his ex-wife.
Queenpins,2021-08-26,7000000,0,"Comedy, Crime","Kristen Bell, Kirby, Vince Vaughn, Paul Walter Hauser, Joel McHale",6.523,408,110,"Bored and frustrated suburban homemaker Connie and her best pal JoJo, a vlogger with dreams, turn a hobby into a multi-million-dollar counterfeit coupon caper. After firing off a letter to the conglomerate behind a box of cereal gone stale, and receiving an apology along with dozens of freebies, the duo hatch an illegal coupon club scheme that scams millions from mega-corporations and delivers deals to legions of fellow coupon clippers. On the trail to total coupon dominance, a hapless Loss Prevention Officer from the local supermarket chain joins forces with a determined U.S. Postal Inspector in hot pursuit of these newly minted “Queenpins” of pink collar crime."
Ben-Hur,2016-08-17,100000000,94061311,"Action, History, Adventure, Drama","Jack Huston, Pilou Asbæk, Rodrigo Santoro, Morgan Freeman, Ayelet Zurer",5.74,1631,125,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.
The Collective,2023-08-04,0,0,"Action, Thriller","Lucas Till, Ruby Rose, Tyrese Gibson, Don Johnson, Mercedes Varnado",5.73,115,86,"A group of righteous assassins called The Collective take aim at a highly sophisticated human trafficking ring backed by a network of untouchable billionaires. With their backs against the wall, The Collective has no choice but to put their most important mission in the hands of rookie assassin, Sam Alexander."
Chicken Little,2005-11-04,150000000,314400000,"Animation, Family, Comedy","Zach Braff, Garry Marshall, Don Knotts, Amy Sedaris, Steve Zahn",5.891,3836,81,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken."
Dracula Untold,2014-10-01,70000000,217124280,"Horror, Action, Fantasy","Luke Evans, Dominic Cooper, Sarah Gadon, Charles Dance, Art Parkinson",6.415,5968,92,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire, Dracula."
The Mission,1986-09-24,24500000,17200000,"Adventure, Drama, Action, History","Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn, Liam Neeson",7.394,1368,126,"When a Spanish Jesuit goes into the South American wilderness to build a mission in the hope of converting the Indians of the region, a slave hunter is converted and joins his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portuguese aggressors."
District 9,2009-08-05,30000000,210888950,Science Fiction,"Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike, Elizabeth Mkandawie",7.446,9286,112,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9."
The Taste of Things,2023-11-08,6500000,5970753,"Romance, Drama","Benoît Magimel, Juliette Binoche, Patrick d'Assumçao, Emmanuel Salinger, Jan Hammenecker",7.105,210,135,"Set in 1889 France, Dodin Bouffant is a chef living with his personal cook and lover Eugénie. They share a long history of gastronomy and love but Eugénie refuses to marry Dodin, so the food lover decides to do something he has never done before: cook for her."
Boruto: Naruto the Movie,2015-08-07,0,39500000,"Adventure, Action, Animation, Comedy, Fantasy","Yuko Sanpei, Cocoro Kikuchi, Junko Takeuchi, Noriaki Sugiyama, Daisuke Namikawa",7.567,1387,95,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. He ends up meeting his father's friend Sasuke, and requests to become... his apprentice!? The curtain on the story of the new generation rises!"
Starship Troopers,1997-11-07,105000000,121214377,"Adventure, Action, Thriller, Science Fiction","Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey, Neil Patrick Harris",7.067,4784,129,"Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs""."
Mang Kanor,2023-01-28,0,0,Drama,"Rez Cortez, Nika Madrid, Joni McNab, Seon Quintos, Rain Perez",2.3,3,91,Old businessman who finds himself in a scandal after his sex videos with women went viral.
West Sex Journey 2,1998-06-16,0,0,,"Chin Man Kei, Peter Ngor Chi-Kwan",4.889,9,71,"The Tang monk said: It is difficult to be a monk, and it is difficult to be a monk with a face better than a talent; It is difficult to be a non-mainstream monk with good looks and talents. Sun Wukong said: Junior Brother Sha, that old guy is starting to lose his face again. ZBJ said: It's easy to be a pig, but it's not easy to be a pig that I do. The sand monk said: Don't look at my rough appearance, in fact, my inner thief is gentle and dripping. The little white dragon said: Don't talk to me, you've seen a few handsome guys who will open their mouths at will."
The Iron Claw,2023-12-21,15900000,40130232,"History, Drama","Zac Efron, Jeremy Allen White, Harris Dickinson, Stanley Simons, Holt McCallany",7.575,739,132,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s. Through tragedy and triumph, under the shadow of their domineering father and coach, the brothers seek larger-than-life immortality on the biggest stage in sports."
Spider-Man 2,2004-06-25,200000000,788976453,"Action, Adventure, Science Fiction","Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris",7.283,14894,127,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well..."
Wish Dragon,2021-01-15,0,25860000,"Animation, Family, Comedy, Fantasy","Jimmy Wong, John Cho, Constance Wu, Natasha Liu Bordizzo, Jimmy O. Yang",7.9,1304,99,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.
The Legend of Tarzan,2016-06-29,180000000,356743061,"Fantasy, Action, Adventure","Alexander Skarsgård, Christoph Waltz, Samuel L. Jackson, Margot Robbie, Djimon Hounsou",5.905,6130,109,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
Orphan,2009-07-24,20000000,77912251,"Horror, Thriller, Mystery","Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder, Aryana Engineer",6.995,5160,122,"After losing their baby, a married couple adopt 9-year old Esther, who may not be as innocent as she seems."
Barbarian,2022-09-08,4500000,45400000,"Horror, Mystery, Thriller","Georgina Campbell, Bill Skarsgård, Justin Long, Matthew Patrick Davis, Richard Brake",6.843,2329,103,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway."
Hanging Up,2000-02-16,60000000,51880044,"Drama, Comedy","Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau, Adam Arkin",5.206,165,94,"Three sisters - Georgia, Eve, and Maddy - do what they do best with life, love, and lunacy on the telephone lines that bind - when their curmudgeonly father, Lou, is admitted to a Los Angeles Hospital. After years of wild living, intermittent affection, and constant phoning, he is finally threatening to die."
The Legend of Tarzan,2016-06-29,180000000,356743061,"Fantasy, Action, Adventure","Alexander Skarsgård, Christoph Waltz, Samuel L. Jackson, Margot Robbie, Djimon Hounsou",5.905,6130,109,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
Orphan,2009-07-24,20000000,77912251,"Horror, Thriller, Mystery","Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder, Aryana Engineer",6.995,5160,122,"After losing their baby, a married couple adopt 9-year old Esther, who may not be as innocent as she seems."
Barbarian,2022-09-08,4500000,45400000,"Horror, Mystery, Thriller","Georgina Campbell, Bill Skarsgård, Justin Long, Matthew Patrick Davis, Richard Brake",6.843,2329,103,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway."
Hanging Up,2000-02-16,60000000,51880044,"Drama, Comedy","Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau, Adam Arkin",5.206,165,94,"Three sisters - Georgia, Eve, and Maddy - do what they do best with life, love, and lunacy on the telephone lines that bind - when their curmudgeonly father, Lou, is admitted to a Los Angeles Hospital. After years of wild living, intermittent affection, and constant phoning, he is finally threatening to die."
Code Geass: Akito the Exiled 1: The Wyvern Arrives,2012-08-04,0,0,"Action, Science Fiction, Animation","Miyu Irino, Maaya Sakamoto, Takehito Koyasu, Takehito Koyasu, Nao Toyama",6.132,54,51,"The side story takes place in 2017 a.t.b., between the rise of the “Black Knights” organization and the return of the supposedly ""dead"" Zero. The setting is in Europe, where the European Union (E.U.) allied nations are being invaded by the overwhelming forces of the Holy Britannian Empire. On the verge of defeat, the E.U. army forms a special unit known as “W-0″, of which a young pilot named Akito Hyuga is a member. Leila Malkal , a former Britannian Aristocrat comes to the E.U.'s aid, commanding the “Wyvern” Knightmare corps comprised of Japanese teenagers. They recklessly plunge into a battlefield, where the survival rate is extremely low, at about 5% only. They fight for their freedom and for a ""home"" to which they can return."
The Sessions,2012-05-02,1000000,9138338,"Drama, Romance, Comedy","John Hawkes, Helen Hunt, William H. Macy, Moon Bloodgood, Annika Marks",6.914,538,95,"Though a childhood bout with polio left him dependent on an iron lung, Mark O'Brien maintains a career as a journalist and poet. A writing assignment dealing with sex and the disabled piques Mark's curiosity, and he decides to investigate the possibility of experiencing sex himself. When his overtures toward a caregiver scare her away, he books an appointment with sex surrogate Cheryl Cohen-Greene to lose his virginity."
One Flew Over the Cuckoo's Nest,1975-11-19,3000000,108981275,Drama,"Jack Nicholson, Brad Dourif, Louise Fletcher, Danny DeVito, William Redfield",8.418,10272,133,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward."
Bright,2017-12-22,90000000,0,"Fantasy, Action, Thriller","Will Smith, Joel Edgerton, Lucy Fry, Noomi Rapace, Edgar Ramírez",6.157,5556,117,"In an alternate present-day where magical creatures live among us, two L.A. cops become embroiled in a prophesied turf battle."
The Last Witch Hunter,2015-10-21,90000000,146936910,"Fantasy, Action, Adventure","Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson, Rena Owen",5.968,3529,106,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family."
Escape from the Planet of the Apes,1971-05-20,2500000,12400000,"Action, Science Fiction","Roddy McDowall, Kim Hunter, Bradford Dillman, Natalie Trundy, Eric Braeden",6.373,1042,98,"The world is shocked by the appearance of three talking chimpanzees, who arrived mysteriously in a spacecraft. Intrigued by their intelligence, humans use them for research - until the apes attempt to escape."
War of the Worlds: The Attack,2023-04-21,0,0,"Science Fiction, Mystery, Thriller","Sam Gittins, Leo Staar, Vincent Regan, Alhaji Fofana, Lara Lemon",5.054,156,87,Three young astronomers fight to survive a deadly Martian invasion.
The Killer,2023-10-25,175000000,362113,"Crime, Thriller","Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard, Kerry O'Malley",6.576,1992,118,"After a fateful near-miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal."
Stand by Me Doraemon,2014-08-08,35000000,83100000,"Animation, Family, Science Fiction, Fantasy, Adventure","Wasabi Mizuta, Megumi Oohara, Yumi Kakazu, Subaru Kimura, Tomokazu Seki",7.304,517,90,Sewashi and Doraemon find themselves way back in time and meet Nobita. It is up to Doraemon to take care of Nobita or else he will not return to the present.
A Part of You,2024-05-31,0,0,Drama,"Felicia Truedsson, Edvin Ryding, Zara Larsson, Ida Engvoll, Mustafa Al-Mashhadani",6.7,54,101,A teenager struggles to pick up the pieces of her shattered world in this emotional and bittersweet coming-of-age drama about those who are left behind.
Friday After Next,2002-11-22,20000000,33500000,Comedy,"Ice Cube, Mike Epps, John Witherspoon, Don Curry, Anna Maria Horsford",6.298,398,85,"Craig and his cousin Day Day have finally moved out of their parents' houses and into their own crib, working nights at a local mall as security guards. When their house is robbed on Christmas Eve they set out to track down the culprit."
Female War: A Nasty Deal,2015-09-27,0,0,"Drama, Romance","Kim Sun-young, Dong Bang-woo, Lee Se-chang, Jung Seo-yoon, Lee Sung-jae",5.1,25,110,Painter Ha-rim became blind due to an unfortunate accident. His wife Sun-yeong searches far and low for a cornea donor until she meets terminal cancer patient Dae-geun. These two make a startling and dangerous deal for Ha-rim's cornea.
Bolt,2008-11-21,150000000,309979994,"Animation, Family, Adventure, Comedy","John Travolta, Susie Essman, Mark Walton, Malcolm McDowell, Miley Cyrus",6.512,5922,98,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home."
Escape Plan,2013-10-09,50000000,137328301,"Action, Thriller","Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, 50 Cent, Sam Neill",6.723,5053,115,"Ray Breslin is the world's foremost authority on structural security. After analyzing every high security prison and learning a vast array of survival skills so he can design escape-proof prisons, his skills are put to the test. He's framed and incarcerated in a master prison he designed himself. He needs to escape and find the person who put him behind bars."
Spell,2020-10-30,0,500104,"Thriller, Horror, Fantasy","Omari Hardwick, Loretta Devine, John Beasley, Peter Butler, Lorraine Burroughs",6.5,378,91,"A father survives a plane crash in rural Appalachia, but becomes suspicious of the elderly couple who take him in to nurse him back to health with the ancient remedies."
Vertigo,1958-05-28,2479000,7797728,"Mystery, Romance, Thriller","James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones",8.17,5625,129,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her."
The Last Airbender,2010-06-30,150000000,319713881,"Action, Adventure, Fantasy","Noah Ringer, Dev Patel, Nicola Peltz Beckham, Jackson Rathbone, Shaun Toub",4.655,3899,103,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations."
22 Jump Street,2014-06-05,50000000,331333876,"Crime, Comedy, Action","Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell, Amber Stevens West",6.839,7812,112,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them."
Addams Family Values,1993-11-19,47000000,48919043,"Comedy, Family, Fantasy","Anjelica Huston, Raúl Juliá, Christopher Lloyd, Joan Cusack, Christina Ricci",6.969,2889,94,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands."
She Devils of the SS,1973-08-23,0,0,"Drama, War","Elisabeth Felchner, Karin Heske, Renate Kasché, Carl Möhner, Helmut Förnbacher",5.151,73,95,"In the last days of WW2, women are volunteering from all over Germany to serve in the front lines by having sex with the brave Nazi soldiers. But when they start having sex with each other, things get complicated. Especially with the increasing danger from the revengeful Soviet army!"
The Greatest Game Ever Played,2005-09-30,26000000,15431177,Drama,"Shia LaBeouf, Stephen Dillane, Josh Flitter, Peter Firth, Elias Koteas",7.273,459,120,"A biopic of 20-year-old Francis Ouimet who defeated his golfing idol and 1900 US Open Champion, Harry Vardon."
It's a Wonderful Life,1946-12-20,3180000,9644124,"Drama, Family, Fantasy","James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers",8.276,4208,130,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin."
Saturday Night Fever,1977-12-16,3500000,237113184,"Music, Drama","John Travolta, Karen Lynn Gorney, Barry Miller, Joseph Cali, Paul Pape",6.729,1872,118,Tony spends his Saturdays at a disco where his stylish moves raise his popularity among the patrons. But his life outside the disco is not easy and things change when he gets attracted to Stephanie.
Clifford the Big Red Dog,2021-11-10,64000000,107347356,"Family, Adventure, Comedy, Fantasy, Animation","Darby Camp, Jack Whitehall, Izaac Wang, John Cleese, Tony Hale",7.19,1708,97,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love."
The Dictator,2012-05-15,65000000,179400000,Comedy,"Sacha Baron Cohen, Ben Kingsley, Anna Faris, Jason Mantzoukas, Sayed Badreya",6.193,5753,83,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.
Psycho,1960-06-22,806947,32000000,"Horror, Thriller, Mystery","Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam",8.43,9890,109,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother."
Friday,1995-04-26,3500000,28200000,Comedy,"Ice Cube, Chris Tucker, Nia Long, Tommy Lister Jr., Anna Maria Horsford",7.155,1757,91,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do."
Triple Frontier,2019-03-06,0,0,"Action, Thriller, Crime, Adventure","Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund, Pedro Pascal",6.313,3113,125,"Struggling to make ends meet, former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord."
Quantum of Solace,2008-10-29,200000000,589580482,"Adventure, Action, Thriller, Crime","Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini",6.328,7707,106,"Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined."
The Gray Man,2022-07-13,200000000,454023,"Action, Thriller","Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton, Jessica Henwick",6.965,3520,129,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head."
Hack!,2007-07-20,2000000,0,"Comedy, Horror","Danica McKellar, Jay Kenneth Johnson, William Forsythe, Sean Kanan, Juliet Landau",4.536,42,89,"Seven college students are picked to travel to a private island owned by the reclusive Vincent King and his film-obsessed wife Mary Shelley to study island wildlife. But is isn't long when a mysterious killer begins killing the students one-by-one, and modeling them after gory murder scenes from numerous horror films."
Checkmates,2024-04-12,0,0,Comedy,"Alexandra Jiménez, María Adánez, Francesc Orella, Miguel Rellán, Alain Hernández",7.1,43,98,"Candela, the headmistress of an elite school, after a traumatic divorce, returns to her old high school to lead a group of rebellious students through chess. There she will learn that in chess, and in life, it doesn't matter if you are a king or a pawn, because everyone ends up in the same box."
Tremors,1990-01-19,11000000,48572000,"Horror, Action, Science Fiction, Comedy","Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Reba McEntire",6.903,3172,96,"Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground."
Big Momma's House 2,2006-01-26,40000000,138300000,"Comedy, Crime","Martin Lawrence, Marisol Nichols, Kevin Durand, Dan Lauria, Kat Dennings",5.768,1558,99,"FBI agent Malcolm Turner goes back undercover as Big Momma, a slick-talking, slam-dunking Southern granny with attitude to spare! Now this granny must play nanny to three dysfunctional upper class kids in order to spy on their computer hacked dad."
Miracles from Heaven,2016-03-17,16000000,74000000,"Family, Drama","Jennifer Garner, Kylie Rogers, Martin Henderson, Brighton Sharbino, Courtney Fansler",7.436,1167,119,"When Christy discovers her 10-year-old daughter Anna has a rare, incurable disease, she becomes a ferocious advocate for her daughter’s healing as she searches for a solution. After Anna has a freak accident and falls three stories, a miracle unfolds in the wake of her dramatic rescue that leaves medical specialists mystified, her family restored and their community inspired."
